"Mitgliedsnummer","Bewegungsart (Z,Ü,K)","Datum","Anzahl Anteile","Wert Anteile","Übertragungspartner","Wirkung Kündigung"
1,"Z",2017-03-10,2,100,,
2,"Z",2017-03-10,10,500,,
3,"Z",2017-03-10,40,2000,,
5,"Z",2017-03-10,4,200,,
6,"Z",2017-03-10,2,100,,
7,"Z",2017-03-10,4,200,,
8,"Z",2017-03-10,10,500,,
9,"Z",2017-03-10,2,100,,
10,"Z",2017-03-10,3,150,,
11,"Z",2017-03-10,5,250,,
12,"Z",2017-03-10,5,250,,
13,"Z",2017-03-10,20,1000,,
15,"Z",2017-03-10,10,500,,
16,"Z",2017-03-10,2,100,,
18,"Z",2017-03-10,6,300,,
19,"Z",2017-03-10,3,150,,
20,"Z",2017-03-10,4,200,,
21,"Z",2017-03-10,2,100,,
23,"Z",2017-03-10,10,500,,
24,"Z",2017-03-10,4,200,,
25,"Z",2017-03-10,10,500,,
26,"Z",2017-03-10,2,100,,
27,"Z",2017-03-10,4,200,,
28,"Z",2017-03-10,3,150,,
29,"Z",2017-03-10,3,150,,
30,"Z",2017-03-10,2,100,,
31,"Z",2017-03-10,2,100,,
32,"Z",2017-03-10,3,150,,
33,"Z",2017-03-10,3,150,,
34,"Z",2017-03-10,3,150,,
35,"Z",2017-03-10,2,100,,
36,"Z",2017-03-10,2,100,,
37,"Z",2017-03-10,6,300,,
38,"Z",2017-03-10,3,150,,
39,"Z",2017-03-10,10,500,,
40,"Z",2017-03-10,2,100,,
41,"Z",2017-03-10,2,100,,
42,"Z",2017-03-10,3,150,,
43,"Z",2017-03-10,10,500,,
45,"Z",2017-03-10,2,100,,
46,"Z",2017-03-10,5,250,,
47,"Z",2017-03-10,4,200,,
48,"Z",2017-03-10,3,150,,
49,"Z",2017-03-10,4,200,,
52,"Z",2017-03-10,2,100,,
53,"Z",2017-03-10,2,100,,
54,"Z",2017-03-10,60,3000,,
55,"Z",2017-03-10,60,3000,,
56,"Z",2017-03-10,5,250,,
57,"Z",2017-03-10,4,200,,
58,"Z",2017-03-10,4,200,,
59,"Z",2017-03-10,4,200,,
60,"Z",2017-03-10,5,250,,
61,"Z",2017-03-10,4,200,,
62,"Z",2017-03-10,3,150,,
63,"Z",2017-03-10,3,150,,
64,"Z",2017-03-10,4,200,,
65,"Z",2017-03-10,3,150,,
66,"Z",2017-03-10,2,100,,
67,"Z",2017-03-10,6,300,,
68,"Z",2017-03-10,3,150,,
69,"Z",2017-03-10,2,100,,
70,"Z",2017-03-10,20,1000,,
71,"Z",2017-03-10,20,1000,,
72,"Z",2017-03-10,20,1000,,
73,"Z",2017-03-10,3,150,,
74,"Z",2017-03-10,6,300,,
75,"Z",2017-03-10,4,200,,
76,"Z",2017-03-10,2,100,,
77,"Z",2017-03-10,6,300,,
78,"Z",2017-03-10,6,300,,
81,"Z",2017-03-10,5,250,,
82,"Z",2017-03-10,5,250,,
83,"Z",2017-03-10,2,100,,
84,"Z",2017-03-10,2,100,,
85,"Z",2017-03-10,4,200,,
86,"Z",2017-03-10,2,100,,
87,"Z",2017-03-10,4,200,,
88,"Z",2017-03-10,10,500,,
89,"Z",2017-03-10,10,500,,
90,"Z",2017-03-10,20,1000,,
91,"Z",2017-03-10,10,500,,
92,"Z",2017-03-10,10,500,,
93,"Z",2017-03-10,6,300,,
94,"Z",2017-03-10,10,500,,
95,"Z",2017-03-10,6,300,,
96,"Z",2017-03-10,20,1000,,
97,"Z",2017-03-10,2,100,,
98,"Z",2017-03-10,3,150,,
99,"Z",2017-03-10,4,200,,
100,"Z",2017-03-10,2,100,,
101,"Z",2017-03-10,2,100,,
102,"Z",2017-03-10,3,150,,
103,"Z",2017-03-10,2,100,,
104,"Z",2017-03-10,2,100,,
105,"Z",2017-03-10,6,300,,
39,"Z",2017-05-14,10,500,,
18,"Z",2017-05-15,6,300,,
48,"Z",2017-06-14,1,50,,
106,"Z",2017-06-14,4,200,,
107,"Z",2017-06-14,2,100,,
109,"Z",2017-06-14,4,200,,
110,"Z",2017-06-14,3,150,,
111,"Z",2017-06-14,4,200,,
112,"Z",2017-06-14,2,100,,
113,"Z",2017-06-14,4,200,,
114,"Z",2017-06-14,6,300,,
115,"Z",2017-06-14,2,100,,
116,"Z",2017-06-14,20,1000,,
117,"Z",2017-06-14,6,300,,
118,"Z",2017-06-14,2,100,,
119,"Z",2017-06-14,4,200,,
120,"Z",2017-06-14,2,100,,
121,"Z",2017-06-14,2,100,,
122,"Z",2017-06-14,2,100,,
123,"Z",2017-06-14,3,150,,
124,"Z",2017-06-14,2,100,,
125,"Z",2017-06-14,6,300,,
126,"Z",2017-06-14,10,500,,
127,"Z",2017-06-14,3,150,,
129,"Z",2017-06-14,10,500,,
130,"Z",2017-06-14,10,500,,
131,"Z",2017-06-14,12,600,,
132,"Z",2017-06-14,2,100,,
134,"Z",2017-06-14,2,100,,
135,"Z",2017-06-14,2,100,,
136,"Z",2017-06-14,2,100,,
137,"Z",2017-06-14,2,100,,
138,"Z",2017-06-14,3,150,,
139,"Z",2017-06-14,5,250,,
140,"Z",2017-06-14,16,800,,
141,"Z",2017-06-14,2,100,,
142,"Z",2017-06-14,4,200,,
143,"Z",2017-06-14,10,500,,
144,"Z",2017-06-14,7,350,,
145,"Z",2017-06-14,2,100,,
146,"Z",2017-06-14,80,4000,,
147,"Z",2017-06-14,8,400,,
148,"Z",2017-06-14,4,200,,
149,"Z",2017-06-14,2,100,,
150,"Z",2017-06-14,2,100,,
151,"Z",2017-06-14,4,200,,
152,"Z",2017-06-14,4,200,,
153,"Z",2017-06-14,2,100,,
154,"Z",2017-06-14,30,1500,,
155,"Z",2017-06-14,2,100,,
156,"Z",2017-06-14,2,100,,
157,"Z",2017-06-14,2,100,,
158,"Z",2017-06-14,2,100,,
159,"Z",2017-06-14,4,200,,
160,"Z",2017-06-14,2,100,,
161,"Z",2017-06-14,16,800,,
162,"Z",2017-06-14,16,800,,
163,"Z",2017-06-14,20,1000,,
164,"Z",2017-06-14,10,500,,
165,"Z",2017-06-14,2,100,,
167,"Z",2017-06-14,3,150,,
168,"Z",2017-06-14,2,100,,
84,"Z",2017-07-04,2,100,,
